frame_number,objects,tracks
1,"['person:0.9982', 'person:0.9940', 'person:0.9843', 'person:0.9719', 'person:0.9474', 'person:0.7947']","[(11, 246, 262), (13, 413, 279), (16, 554, 294), (17, 654, 298), (19, 488, 198), (20, 339, 198)]"
1,"['person:0.9966', 'person:0.9956', 'person:0.9265', 'person:0.8408', 'person:0.6098']","[(11, 195, 281), (13, 405, 278), (16, 547, 295), (17, 652, 295), (20, 38, 275)]"
1,"['person:0.9961', 'person:0.9960', 'person:0.9199', 'person:0.8113', 'person:0.5738']","[(11, 193, 281), (13, 405, 278), (16, 547, 295), (17, 652, 295), (20, 38, 275)]"
1,"['person:0.9956', 'person:0.9912', 'person:0.9899', 'person:0.9573', 'person:0.9445']","[(11, 180, 283), (13, 395, 281), (16, 527, 298), (17, 635, 282), (20, 45, 336)]"
1,"['person:0.9943', 'person:0.9902', 'person:0.9883', 'person:0.9121', 'person:0.8302', 'backpack:0.5986']","[(11, 177, 280), (13, 359, 276), (16, 523, 297), (17, 630, 288), (20, 33, 333), (21, 288, 394)]"
1,"['person:0.9954', 'person:0.9900', 'person:0.9674', 'person:0.9603', 'backpack:0.7774', 'person:0.6764', 'person:0.5348']","[(11, 133, 287), (13, 345, 277), (16, 504, 293), (17, 617, 284), (20, 22, 315), (21, 236, 400), (22, 551, 198)]"
1,"['person:0.9955', 'person:0.9889', 'person:0.9620', 'person:0.9619', 'backpack:0.7459', 'person:0.6993', 'person:0.5339']","[(11, 131, 288), (13, 345, 277), (16, 505, 293), (17, 617, 283), (20, 22, 315), (21, 237, 401), (22, 551, 198)]"
1,"['person:0.9897', 'person:0.9847', 'person:0.9775', 'person:0.9417', 'backpack:0.7963']","[(11, 123, 288), (13, 344, 278), (16, 495, 292), (17, 614, 286), (21, 225, 410)]"
1,"['person:0.9981', 'person:0.9921', 'person:0.8317', 'person:0.8014', 'person:0.5355', 'backpack:0.5330']","[(11, 124, 288), (13, 338, 282), (16, 491, 292), (17, 603, 276), (21, 200, 413), (23, 547, 198)]"
1,"['person:0.9902', 'person:0.9872', 'person:0.9542', 'person:0.9438', 'person:0.9042', 'person:0.8545']","[(11, 75, 278), (13, 296, 256), (16, 466, 289), (17, 611, 250), (21, 574, 241), (23, 530, 204)]"
1,"['person:0.9895', 'person:0.9874', 'person:0.9563', 'person:0.9528', 'person:0.8829', 'person:0.8615']","[(11, 72, 279), (13, 298, 256), (16, 466, 289), (17, 611, 249), (21, 575, 241), (23, 530, 203)]"
1,"['person:0.9942', 'person:0.9873', 'person:0.9299', 'person:0.9268', 'person:0.9197', 'person:0.7439']","[(11, 46, 276), (13, 252, 259), (16, 461, 294), (17, 603, 252), (21, 409, 204), (23, 527, 204)]"
1,"['person:0.9943', 'person:0.9890', 'person:0.9745', 'person:0.9388', 'person:0.8862', 'person:0.7100']","[(11, 74, 289), (13, 241, 258), (16, 449, 294), (17, 582, 255), (21, 407, 203), (23, 521, 204)]"
1,"['person:0.9975', 'person:0.9907', 'person:0.8419', 'person:0.8196', 'person:0.7902', 'person:0.6323']","[(11, 65, 293), (13, 239, 277), (16, 440, 293), (17, 580, 248), (21, 406, 203), (23, 519, 219)]"
1,"['person:0.9865', 'person:0.9714', 'person:0.9025', 'person:0.8224']","[(11, 60, 291), (16, 422, 285), (17, 559, 249), (23, 291, 253)]"
1,"['person:0.9971', 'person:0.9912', 'person:0.9696', 'person:0.9366', 'person:0.6058', 'person:0.5078']","[(11, 43, 236), (16, 421, 261), (17, 514, 255), (23, 289, 256), (24, 595, 101), (25, 355, 204)]"
1,"['person:0.9926', 'person:0.9660', 'person:0.9063', 'person:0.8966', 'person:0.7967', 'person:0.5756']","[(11, 45, 260), (16, 463, 258), (17, 625, 243), (23, 286, 260), (24, 192, 277), (25, 356, 203)]"
1,"['person:0.9963', 'person:0.9906', 'person:0.9477', 'person:0.9332', 'person:0.7941', 'person:0.6599']","[(11, 44, 277), (16, 453, 258), (17, 611, 253), (23, 253, 274), (24, 148, 279), (25, 355, 203)]"
1,"['person:0.9967', 'person:0.9836', 'person:0.9824', 'person:0.9773', 'person:0.9575', 'person:0.5927', 'person:0.5795', 'person:0.5392']","[(11, 44, 279), (16, 440, 256), (17, 579, 258), (23, 243, 278), (24, 138, 279), (25, 342, 201), (26, 502, 128), (27, 327, 178)]"
1,"['person:0.9931', 'person:0.9916', 'person:0.9777', 'person:0.9751', 'person:0.9749', 'person:0.5410']","[(11, 42, 275), (17, 580, 257), (23, 236, 282), (24, 132, 277), (25, 341, 202), (27, 405, 258)]"
1,"['person:0.9873', 'person:0.9536', 'person:0.8816', 'person:0.8597', 'person:0.8061']","[(11, 44, 277), (17, 557, 250), (23, 234, 278), (24, 133, 279), (27, 388, 252)]"
1,"['person:0.9983', 'person:0.9330', 'person:0.8384']","[(11, 79, 261), (23, 457, 246), (24, 180, 278)]"
1,"['person:0.9984', 'person:0.9329', 'person:0.8578']","[(11, 81, 261), (23, 457, 246), (24, 180, 278)]"
1,"['person:0.9978', 'person:0.9659', 'person:0.9029', 'backpack:0.5627']","[(11, 74, 257), (23, 445, 245), (24, 151, 261), (28, 233, 259)]"
1,"['person:0.9984', 'person:0.9709', 'person:0.9227']","[(11, 70, 256), (23, 394, 244), (28, 223, 255)]"
1,"['person:0.9990', 'person:0.9870', 'person:0.9550', 'person:0.7247', 'person:0.6663', 'person:0.6139']","[(11, 45, 261), (23, 350, 246), (28, 202, 257), (29, 126, 248), (30, 76, 122), (31, 183, 126)]"
1,"['person:0.9990', 'person:0.9598', 'person:0.9250', 'person:0.7638']","[(11, 40, 259), (23, 300, 243), (28, 496, 243), (29, 114, 248)]"
1,"['person:0.9993', 'person:0.9489', 'person:0.8500', 'person:0.6512']","[(11, 75, 251), (23, 287, 248), (28, 489, 258), (29, 550, 204)]"
1,"['person:0.9992', 'person:0.9872', 'person:0.9727', 'bicycle:0.6758', 'person:0.5095']","[(11, 195, 246), (23, 338, 241), (28, 519, 274), (29, 549, 201), (32, 445, 261)]"
1,"['person:0.9993', 'person:0.9858', 'person:0.9775', 'bicycle:0.6935']","[(11, 195, 246), (28, 519, 274), (29, 549, 201), (32, 445, 260)]"
1,"['person:0.9925', 'person:0.9845', 'person:0.9684', 'person:0.9598', 'bicycle:0.6706']","[(11, 172, 247), (28, 519, 262), (29, 548, 199), (32, 439, 257), (33, 307, 278)]"
1,"['person:0.9925', 'person:0.9918', 'person:0.9903', 'person:0.9458', 'bicycle:0.6315']","[(11, 170, 250), (28, 515, 262), (29, 547, 203), (32, 416, 280), (33, 299, 280)]"
1,"['person:0.9896', 'person:0.9840', 'person:0.9781', 'person:0.9744', 'bicycle:0.8089']","[(11, 132, 248), (28, 520, 262), (29, 546, 200), (32, 399, 275), (33, 285, 279)]"
1,"['person:0.9889', 'person:0.9849', 'person:0.9776', 'person:0.9707', 'bicycle:0.9354', 'person:0.5047']","[(11, 127, 252), (28, 524, 260), (29, 547, 202), (32, 388, 260), (33, 275, 281), (34, 311, 202)]"
1,"['person:0.9877', 'person:0.9819', 'person:0.9763', 'bicycle:0.9718', 'backpack:0.7429', 'person:0.5482', 'person:0.5296']","[(11, 122, 256), (28, 526, 257), (29, 545, 188), (32, 384, 258), (33, 264, 280), (34, 204, 217), (35, 119, 127)]"
1,"['person:0.9888', 'person:0.9864', 'person:0.9852', 'bicycle:0.9843', 'person:0.9632', 'person:0.8823', 'person:0.7382', 'backpack:0.7037', 'backpack:0.6463']","[(11, 148, 236), (28, 533, 260), (29, 491, 219), (32, 351, 277), (33, 248, 290), (34, 201, 217), (35, 101, 124), (36, 86, 257), (37, 683, 238)]"
1,"['person:0.9849', 'person:0.9831', 'person:0.9797', 'bicycle:0.9774', 'person:0.9532', 'person:0.8718', 'person:0.8415', 'person:0.7652', 'person:0.5552']","[(11, 283, 181), (28, 530, 260), (29, 545, 200), (32, 346, 276), (33, 248, 291), (34, 197, 237), (35, 426, 179), (36, 71, 280), (37, 680, 235)]"
1,"['person:0.9937', 'person:0.9788', 'person:0.9697', 'person:0.9657', 'person:0.9649', 'person:0.9550', 'person:0.9460', 'person:0.6980', 'person:0.5941']","[(11, 117, 275), (28, 507, 217), (29, 545, 203), (32, 332, 278), (33, 227, 281), (34, 185, 222), (35, 418, 182), (36, 41, 279), (37, 676, 232)]"
1,"['person:0.9933', 'person:0.9712', 'person:0.9658', 'person:0.9650', 'person:0.9633', 'person:0.9540', 'person:0.9424', 'person:0.6890', 'person:0.6669', 'person:0.5183']","[(11, 116, 276), (28, 507, 217), (29, 545, 203), (32, 333, 278), (33, 227, 281), (34, 185, 222), (35, 418, 182), (36, 41, 279), (37, 676, 232), (38, 464, 219)]"
1,"['person:0.9963', 'person:0.9852', 'person:0.9486', 'person:0.9306', 'person:0.9176', 'person:0.9127', 'person:0.8611', 'person:0.5115']","[(11, 84, 282), (28, 519, 217), (29, 302, 256), (33, 220, 280), (34, 179, 202), (35, 415, 182), (37, 678, 224), (38, 463, 220)]"
1,"['person:0.9917', 'person:0.9843', 'bicycle:0.9788', 'person:0.9639', 'person:0.8900', 'person:0.8868', 'person:0.8529', 'person:0.5731']","[(11, 58, 259), (28, 532, 259), (29, 289, 276), (33, 204, 275), (34, 122, 256), (35, 412, 180), (37, 677, 223), (38, 463, 221)]"
1,"['person:0.9990', 'person:0.9889', 'bicycle:0.9770', 'person:0.9730', 'person:0.9455', 'person:0.8857', 'person:0.8463', 'person:0.7707']","[(11, 41, 276), (28, 531, 256), (29, 277, 274), (33, 179, 261), (34, 118, 258), (35, 409, 182), (37, 676, 221), (38, 468, 222)]"
1,"['person:0.9990', 'person:0.9869', 'bicycle:0.9785', 'person:0.9740', 'person:0.9423', 'person:0.8823', 'person:0.8691', 'person:0.7834']","[(11, 41, 276), (28, 531, 256), (29, 277, 275), (33, 179, 261), (34, 118, 258), (35, 409, 182), (37, 676, 221), (38, 468, 222)]"
1,"['person:0.9961', 'person:0.9791', 'person:0.9697', 'person:0.9648', 'person:0.9631', 'person:0.9322', 'person:0.7369']","[(11, 44, 276), (28, 526, 203), (33, 168, 276), (34, 117, 262), (35, 397, 198), (37, 677, 219), (38, 468, 220)]"
1,"['bicycle:0.9905', 'person:0.9759', 'person:0.9741', 'person:0.9643', 'person:0.9580', 'person:0.9105', 'person:0.8025', 'person:0.5650']","[(11, 43, 275), (28, 544, 256), (33, 149, 274), (34, 238, 273), (35, 398, 200), (37, 678, 296), (38, 467, 220), (39, 333, 281)]"
1,"['bicycle:0.9942', 'person:0.9829', 'person:0.9817', 'person:0.9675', 'person:0.9611', 'person:0.9023', 'person:0.8963', 'person:0.8360']","[(11, 39, 277), (28, 544, 255), (33, 130, 276), (34, 230, 277), (35, 398, 203), (37, 666, 214), (38, 467, 220), (39, 334, 281)]"
1,"['bicycle:0.9961', 'person:0.9923', 'person:0.9727', 'person:0.9597', 'person:0.9549', 'person:0.9075', 'person:0.8564', 'person:0.7005', 'person:0.6047']","[(11, 35, 281), (28, 547, 256), (33, 127, 259), (34, 223, 254), (35, 396, 201), (37, 663, 214), (38, 467, 220), (39, 331, 282), (40, 290, 179)]"
1,"['bicycle:0.9953', 'person:0.9941', 'person:0.9752', 'person:0.9505', 'person:0.9485', 'person:0.9433', 'person:0.9120', 'person:0.8586', 'person:0.5786']","[(11, 33, 279), (28, 550, 255), (33, 122, 261), (34, 660, 298), (35, 394, 203), (37, 659, 214), (38, 466, 220), (39, 331, 294), (40, 282, 195)]"
1,"['bicycle:0.9966', 'person:0.9942', 'person:0.9705', 'person:0.9473', 'person:0.9393', 'person:0.8660', 'person:0.8079', 'person:0.7508', 'person:0.7094', 'person:0.6996']","[(11, 23, 281), (28, 552, 255), (33, 178, 277), (34, 657, 299), (35, 393, 203), (37, 653, 215), (38, 466, 220), (39, 331, 294), (40, 278, 196), (41, 439, 203)]"
